Name,Username,Category,Followers,Avg. Likes,Avg.Comment,Eng. Rate,Growth Rate,Profile
Jerome Polin Sijabat,@jeromepolin,Education,8.8M,234.3K,371,2.67%,0.46%,https://www.instagram.com/jeromepolin/
Media Online Mahasiswa,@zonamahasiswa.id,Education,2.1M,19.6K,86,0.92%,0.71%,https://www.instagram.com/zonamahasiswa.id/
UTBK SNBT SNPMB 2025,@sbmptn.id,Education,1.6M,20.1K,770,1.28%,0.06%,https://www.instagram.com/sbmptn.id/
Rumaysho.com | Mengenal Ajaran Islam Lebih Dekat,@rumayshocom,Education,945.3K,12.3K,24,1.31%,0.01%,https://www.instagram.com/rumayshocom/
Universitas Gadjah Mada,@ugm.yogyakarta,Education,1.6M,6.9K,18,0.44%,0.87%,https://www.instagram.com/ugm.yogyakarta/
Galih Sulistyaningra,@galihtyanr,Education,268.5K,35.8K,134,13.37%,4.14%,https://www.instagram.com/galihtyanr/
Maju Indonesia,@maju.idn,Education,62.3K,165.3K,22,265.47%,2.75%,https://www.instagram.com/maju.idn/
Lianna Nathania,@lianna.nathania,Education,794.9K,9.5K,51,1.19%,3.51%,https://www.instagram.com/lianna.nathania/
Ruangguru | Bimbel Online & Offline No 1,@ruangguru,Education,1.9M,4.3K,19,0.22%,0.32%,https://www.instagram.com/ruangguru/
Universitas Indonesia,@univ_indonesia,Education,1.2M,4.1K,10,0.34%,1.23%,https://www.instagram.com/univ_indonesia/
Pondok Lirboyo,@pondoklirboyo,Education,628.4K,6.1K,16,0.97%,1.26%,https://www.instagram.com/pondoklirboyo/
Nunuk Suryani,@nunuksuryani,Education,420.5K,8.3K,844,2.08%,0.67%,https://www.instagram.com/nunuksuryani/
Pusat Prestasi Nasional,@puspresnas,Education,815.1K,4.3K,90,0.54%,1.14%,https://www.instagram.com/puspresnas/
Ira Mirawati,@ibuiramira,Education,448.5K,6.6K,102,1.49%,0.95%,https://www.instagram.com/ibuiramira/
الحبيب توفيق السقاف (Admin),@habibtaufiqassegaf,Education,688.9K,3.8K,20,0.55%,0.05%,https://www.instagram.com/habibtaufiqassegaf/
Universitas Airlangga,@univ_airlangga,Education,580.6K,4.6K,19,0.80%,1.90%,https://www.instagram.com/univ_airlangga/
Lembaga Pengelola Dana Pendidikan,@lpdp_ri,Education,1.3M,2.3K,91,0.18%,0.38%,https://www.instagram.com/lpdp_ri/
Kemdikbud.RI,@kemdikbud.ri,Education,2.8M,961,46,0.04%,0.39%,https://www.instagram.com/bbgpdiy.kemdikbudristek/
NBP • SNBT • MANDIRI 2025,@infosbmptn,Education,492.2K,4.5K,111,0.92%,0.92%,https://www.instagram.com/infosbmptn/
Anak Teknik Indonesia,@anakteknikindo,Education,544.6K,3.7K,24,0.67%,0.05%,https://www.instagram.com/anakteknikindo/
Kobi Education,@kobieducation,Education,1.1M,2.1K,12,0.20%,0.00%,https://www.instagram.com/kobieducation/
LES BAHASA KOREA 50K 🇮🇩🇰🇷,@lesbakor,Education,197.4K,9.6K,34,4.85%,-0.31%,https://www.instagram.com/lesbakor/
Englishnesia - Kursus Online B. Inggris No.1,@englishnesia.id,Education,1.2M,1.9K,27,0.16%,1.41%,https://www.instagram.com/englishnesia.id/
SainsIn | Try Out UTBK SBMPTN,@sainsin_,Education,293.9K,8.4K,92,2.86%,9.22%,https://www.instagram.com/sainsin_/
Zenius,@zeniuseducation,Education,531.4K,3.1K,52,0.60%,2.51%,https://www.instagram.com/zeniuseducation/
INFO BEASISWA INDONESIA,@beasiswa.co,Education,885.2K,1.5K,5,0.17%,0.61%,https://www.instagram.com/beasiswa.co/
PPG Kemendikdasmen,@ppgkemendikdasmen,Education,721K,2K,53,0.28%,1.57%,https://www.instagram.com/ppgkemendikdasmen/
Unpad - Univ. Padjadjaran,@universitaspadjadjaran,Education,619.6K,2.2K,14,0.36%,2.62%,https://www.instagram.com/universitaspadjadjaran/
Bimbel Online CPNS • PPPK • BUMN No. 1,@aptaschool_cpns,Education,539.4K,2.4K,42,0.46%,0.00%,https://www.instagram.com/aptaschool_cpns/
Universitas Brawijaya,@univ.brawijaya,Education,634.2K,2.3K,9,0.36%,1.73%,https://www.instagram.com/univ.brawijaya/
Media Info Kampus | Kuliah | Beasiswa,@kampusindonesia,Education,461K,2.9K,16,0.64%,0.30%,https://www.instagram.com/kampusindonesia/
Schoters | Bimbingan Studi LN,@schoters,Education,1.5M,1K,9,0.07%,0.39%,https://www.instagram.com/schoters/
AYMANG AYU | INFO SEKOLAH KEDINASAN & CASN,@aymangayu,Education,499.4K,2.2K,71,0.45%,9.05%,https://www.instagram.com/aymangayu/
